Sample-#, CA-V, CA-I, CB-V, CB-I 
0.000375, 0.00485513033345, 0.0, -1.99468787294, 0.0
0.00038, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000385, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00039, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000395, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.0004, 0.00469885487109, 0.0, -1.99492199766, 0.0
0.000405, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00041, 0.00469885487109, 0.0, -1.99468787294, 0.0
0.000415, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00042, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000425, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00043, 0.0049332678318, 0.0, -1.99484395608, 0.0
0.000435, 0.0049332678318, 0.0, -1.99468787294, 0.0
0.00044, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000445, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00045, 0.0049332678318, 0.0, -1.99476591451, 0.0
0.000455, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00046, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000465, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00047, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000475, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00048, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000485, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00049, 0.0047769928351, 0.0, -1.99468787294, 0.0
0.000495, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.0005, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000505, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00051, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000515, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00052, 0.00485513033345, 0.0, -1.99492199766, 0.0
0.000525, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00053, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000535, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00054, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000545, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00055, 0.00485513033345, 0.0, -1.99468787294, 0.0
0.000555, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.00056, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000565, 0.0049332678318, 0.0, -1.99484395608, 0.0
0.00057, 0.00485513033345, 0.0, -1.99492199766, 0.0
0.000575, 0.0049332678318, 0.0, -1.99492199766, 0.0
0.00058, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000585, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.00059, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.000595, 0.0049332678318, 0.0, -1.99460983137, 0.0
0.0006, 0.00485513033345, 0.0, -1.99484395608, 0.0
0.000605, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.00061, 0.00485513033345, 0.0, -1.99476591451, 0.0
0.000615, 0.0047769928351, 0.0, -1.99492199766, 0.0
0.00062, 0.0047769928351, 0.0, -1.99484395608, 0.0
0.000625, 0.0047769928351, 0.0, -1.99476591451, 0.0
0.00063, 0.792481720448, 0.0, -1.98477658257, 0.0
0.000635, 1.82952332497, 0.0, -1.76212373376, 0.0
0.00064, 1.98056316376, 0.0, -1.16596347094, 0.0
0.000645, 1.99540936947, 0.0, -0.344028830528, 0.0
0.00065, 1.99767529964, 0.0, 0.488597631454, 0.0
0.000655, 1.99822235107, 0.0, 1.13205122948, 0.0
0.00066, 1.99876928329, 0.0, 1.45085144043, 0.0
0.000665, 1.99900364876, 0.0, 1.39325666428, 0.0
0.00067, 1.99915993214, 0.0, 0.998365879059, 0.0
0.000675, 1.99923813343, 0.0, 0.390811443329, 0.0
0.00068, 1.99939441681, 0.0, -0.266065239906, 0.0
0.000685, 1.99923813343, 0.0, -0.808610796928, 0.0
0.00069, 1.99955070019, 0.0, -1.11250495911, 0.0
0.000695, 1.99947249889, 0.0, -1.11703139544, 0.0
0.0007, 1.99939441681, 0.0, -0.841544389725, 0.0
0.000705, 1.99947249889, 0.0, -0.38039624691, 0.0
0.00071, 1.99947249889, 0.0, 0.135615348816, 0.0
0.000715, 1.99939441681, 0.0, 0.575536251068, 0.0
0.00072, 1.99962878227, 0.0, 0.839082717896, 0.0
0.000725, 1.99962878227, 0.0, 0.876230716705, 0.0
